写法,类别,作者看到的含义,主参数,可选参数/标记,默认与别名解析,编译到底层哈语言,等待语义,状态,示例,备注
普通文本,文本,旁白/无角色文本,整行文本,行尾可加 #id:key,文本可含 {变量},MSG heredoc 或生成文本 ID,message,stable,这里比白天安静多了。,无 @/#/; 前缀
Actor[.Pose]: 文本,文本,角色说话，可顺便换姿势,Actor.Pose,#id:key,Actor/Pose 查别名表；Pose 可省略,必要时 TALKER + PIC + HKDS；随后 MSG,message,stable,Noel.Happy: 今天也要加油。,复杂 PIC 串只存在于 aliases
; 注释,语法,作者注释,整行注释,无,不解析别名,不输出,none,stable,; 进入博物馆前,沿用 NaniScript 风格
# Label,流程,定义跳转标签,Label,无,本文件作用域,LABEL Label,none,stable,# Leave,检查重复与未引用标签
@char,角色,显示角色/切换姿势/摆位,Actor[.Pose],pos:<Position> box:<Style> instant!,角色默认姿势、位置和对话框来自别名表,TALKER + PIC + HKDS（v2.0 保守输出）,none,stable,@char Noel.Happy pos:left,核心组合指令；仅在数据流可证明时优化
@say,文本,用命令形式输出动态台词,"""Text""",as:<Actor> pose:<Pose> #id:key,as 省略为旁白；文本支持 {变量},必要时 TALKER/PIC；随后 MSG,message,stable,"@say ""得分是 {score}"" as:Noel",普通对话优先使用 Actor: 文本
@name,角色,临时修改显示名/说话音效,Actor,as:<Text> voice:<Alias> reset!,Actor/voice 查别名表,TALKER_REPLACE,none,stable,"@name Noel as:""？？？""",reset! 恢复默认
@emote,角色,播放角色表情符号,Actor.Emote,无,Actor.Emote 查 emotes,PIC_MP actor rawEmote,none,stable,@emote Noel.Sweat,支持配置组合效果
@show,画面,显示别名图片/CG,VisualAlias,layer:<Layer> pos:<Position> instant!,VisualAlias 提供 raw 资源和默认图层,PIC ...,none,stable,@show CG.MuseumNight layer:main,普通立绘优先使用 @char
@hide,画面,隐藏角色或图片,Actor|VisualAlias,instant!,按引用类型找到 actor/layer,PIC_HIDE target 0|1,none,stable,@hide Noel instant!,instant! 映射为 1
@hideAll,画面,隐藏一组画面元素,Group,instant!,Group 查 layerGroups；默认 all,PIC_HIDE_ALL mask 0|1,none,stable,@hideAll characters,组名代替 #T&W% 掩码
@move,画面,移动角色或图片,Actor|VisualAlias,to:<Position> time:<Frames> curve:<Curve>,to 必填；time 默认 30；curve 默认 smooth,PIC_MOVE target x y frames rawCurve,none,stable,@move Noel to:center time:30,Position 同时提供 x/y
@shake,画面,抖动角色或图片,Actor|VisualAlias,kind:<Shake> time:<Frames> stop!,time 默认 15；stop! 映射 NONE,PIC_MOVEA target frames rawKind,none,stable,@shake Noel kind:scary,Shake 可在项目别名表扩展
@fill,画面,用纯色覆盖画面,Color,layer:<Layer>,layer 默认 overlay；Color 查 colors,PIC_FILL rawLayer rawColor,none,stable,@fill black,常用于转场
@fade,画面,纯色渐入/渐出,in|out,color:<Color> time:<Frames> layer:<Layer>,color 默认 black；time 默认 30；layer 默认 overlay,PIC_FILL + PIC_FADEIN/PIC_FADEOUT,none,stable,@fade out color:black time:40,组合指令，展开顺序固定
@flash,画面,画面闪白/闪色,Color,time:<Frames> delay:<Frames> hold:<Frames> layer:<Layer>,time 默认 20；delay/hold 默认 0；layer 默认 flash,PIC_FLASH rawLayer delay hold time rawColor,none,stable,@flash white time:20,简化原 x/y/z 参数
@effect,画面,添加/移除后处理,Effect,time:<Frames> remove!,Effect 查 effects；remove! 映射 time=-1,PE rawEffect frames,none,stable,@effect Zoom time:60,效果名不直接暴露 PE ID
@wait,同步,等待若干帧,Frames,无,必须为非负整数,WAIT frames,frame,stable,@wait 20,时间单位保持底层帧
@waitInput,同步,等待玩家确认,[Timeout],无,省略表示无限等待,WAIT_BUTTON [timeout],input,stable,@waitInput 180,主参数可省略
